timestamp,id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2026-05-10 20:51:05.790,1,-0.35779816,0.61509174,0.37808868,0.0,0.0,0.0
2026-05-10 20:51:05.800,2,-0.35779816,0.61509174,0.37808868,0.0,0.0,0.0
2026-05-10 20:51:05.810,3,-0.35779816,0.61509174,0.37808868,0.0,0.0,0.0
2026-05-10 20:51:05.820,4,-0.35779816,0.61509174,0.37808868,0.0,0.0,0.0
2026-05-10 20:51:05.830,5,-0.35779816,0.61509174,0.37808868,0.0,0.0,0.0
2026-05-10 20:51:05.840,6,-0.35779816,0.61509174,0.37808868,0.0,0.0,0.0
2026-05-10 20:51:05.850,7,-0.35779816,0.61509174,0.37808868,0.0,0.0,0.0
2026-05-10 20:51:05.860,8,-0.35779816,0.61509174,0.37808868,0.0,0.0,0.0
2026-05-10 20:51:05.870,9,-0.35779816,0.61509174,0.37808868,0.0,0.0,0.0
2026-05-10 20:51:05.880,10,-0.35779816,0.61509174,0.37808868,0.0,0.0,0.0
2026-05-10 20:51:05.890,11,-0.35779816,0.61509174,0.37808868,0.0,0.0,0.0
2026-05-10 20:51:05.900,12,-0.35779816,0.61509174,0.37808868,0.0,0.0,0.0
2026-05-10 20:51:05.910,13,-0.35779816,0.61509174,0.37808868,0.0,0.0,0.0
2026-05-10 20:51:05.920,14,-0.35779816,0.61509174,0.37808868,0.0,0.0,0.0
2026-05-10 20:51:05.930,15,-0.35779816,0.61509174,0.37808868,0.0,0.0,0.0
2026-05-10 20:51:05.940,16,-0.20058485999999998,0.530355505,0.42770641,0.0,0.0,0.0
2026-05-10 20:51:05.950,17,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:05.960,18,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:05.970,19,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:05.980,20,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:05.990,21,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:06.000,22,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:06.010,23,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:06.020,24,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:06.030,25,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:06.040,26,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:06.050,27,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:06.060,28,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:06.070,29,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:06.080,30,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:06.090,31,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:06.100,32,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:06.110,33,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:06.120,34,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:06.130,35,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:06.140,36,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:06.150,37,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:06.160,38,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:06.170,39,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:06.180,40,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:06.190,41,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:06.200,42,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:06.210,43,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:06.220,44,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:06.230,45,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
2026-05-10 20:51:06.240,46,0.27105504,0.2761468,0.5765596,0.0,0.0,0.0
